,Organization Name,Organization Name URL,Transaction Name,Transaction Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Type,Organization Industries,Announced Date,Lead Investors,Investor Names,Funding Stage,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Diversity Spotlight (US Headquarters Only),Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Organization Location
1967,Pegaki,https://www.crunchbase.com/organization/pegaki,Pre Seed Round - Pegaki,https://www.crunchbase.com/funding_round/pegaki-pre-seed--17aa2016,1660000.0,BRL,456938.0,Pre-Seed,"E-Commerce, Information Technology, Logistics, Supply Chain Management",2016-11-14,,Cotidiano,Seed,100000.0,BRL,29168.0,,,,Yes,Pegaki is a network of withdrawal points for products purchased over the internet. ,,http://pegaki.com.br/,Less than $1M,M&A,3,"Blumenau, Santa Catarina, Brazil, South America"
1968,Sotran,https://www.crunchbase.com/organization/sotran,Private Equity Round - Sotran,https://www.crunchbase.com/funding_round/sotran-private-equity--17b83bd2,100000000.0,BRL,18426387.0,Private Equity,"Agriculture, Logistics, Marketplace, Supply Chain Management",2016-11-10,Arlon Group,Arlon Group,Private Equity,,,,,,,Yes,Sotran is a digital logistics marketplace for agribusiness.,,https://www.sotran.com.br,,Private Equity,2,"Londrina, Parana, Brazil, South America"
1969,Infracommerce,https://www.crunchbase.com/organization/infracommerce,Series C - Infracommerce,https://www.crunchbase.com/funding_round/infracommerce-series-c--697650b4,90841000.0,USD,90841000.0,Series C,"B2B, B2C, E-Commerce, E-Commerce Platforms, Internet, Logistics, Payments",2016-11-07,,"Flybridge, Igah Ventures, Silvio Genesini, TransCosmos",Late Stage Venture,,,,,,,Yes,"Infracommerce offers E-commerce platforms / technology as well as services in logistics, online payment and big data across Latin America",,http://www.infracommerce.com.br,$100M to $500M,IPO,10,"São Paulo, Sao Paulo, Brazil, South America"
1970,Pinmyspot,https://www.crunchbase.com/organization/pinmyspot,Non Equity Assistance - Pinmyspot,https://www.crunchbase.com/funding_round/pinmyspot-non-equity-assistance--77a8bd6e,55921.0,USD,55921.0,Non-equity Assistance,"Apps, Augmented Reality, Mobile Apps, Social Network, Software, Virtual Reality",2016-11-07,,,,40000.0,USD,40000.0,,,,No,Pinmyspot allows the user to hunt discounts and prizes with Augmented Reality.,,http://pinmyspot.com,,Seed,2,"Porto Alegre, Rio Grande do Sul, Brazil, South America"
1971,Esportudo,https://www.crunchbase.com/organization/esportudo,Grant - Esportudo,https://www.crunchbase.com/funding_round/esportudo-grant--6189058d,2345000.0,USD,2345000.0,Grant,"Media and Entertainment, News, Sports",2016-11-05,IDEA: Northeastern University's Venture Accelerator,IDEA: Northeastern University's Venture Accelerator,,10000.0,USD,10000.0,,,,No,"Esportudo is a sports media company that allows Latino users to personalize, discover, and follow their favorite teams.",,https://esportudo.com/,$1M to $10M,Seed,5,"São Paulo, Sao Paulo, Brazil, South America"
1972,RD Station,https://www.crunchbase.com/organization/resultados-digitais,Series C - RD Station,https://www.crunchbase.com/funding_round/resultados-digitais-series-c--a5e0d970,76220305.0,USD,76220305.0,Series C,"CRM, Digital Marketing, Enterprise Software, Information Technology, Lead Management, Marketing Automation, SaaS, Software",2016-11-03,TPG,"DGF Investimentos, Endeavor Catalyst, Redpoint eventures, TPG",Late Stage Venture,19200000.0,USD,19200000.0,,,,Yes,"RD Station helps customers build, execute, and measure digital marketing strategies.",,http://rdstation.com,$10M to $50M,M&A,5,"Florianópolis, Santa Catarina, Brazil, South America"
1973,Muxi,https://www.crunchbase.com/organization/muxi-tecnologia-em-pagamentos-s-a,Series B - Muxi,https://www.crunchbase.com/funding_round/muxi-tecnologia-em-pagamentos-s-a-series-b--9e006acc,,USD,,Series B,"Electronics, Finance, Financial Exchanges, Financial Services, Payments",2016-11-01,,Confrapar,Early Stage Venture,,,,,,,Yes,Muxi develops technology solutions for the capture and authorization of electronic transactions.,,http://www.muxi.com.br,$10M to $50M,M&A,3,"Rio De Janeiro, Rio de Janeiro, Brazil, South America"
1974,Alboom,https://www.crunchbase.com/organization/alboom-inc,Seed Round - Alboom,https://www.crunchbase.com/funding_round/alboom-inc-seed--9ee2ff07,,USD,,Seed,"E-Commerce, Information Technology, Software",2016-11-01,,,Seed,,,,,,,Yes,"Alboom delivers online tools that help entrepreneurs showcase their work, grow faster and unlock creativity.",,http://www.alboompro.com,Less than $1M,Seed,3,"Jaú, Sao Paulo, Brazil, South America"
1975,Geru,https://www.crunchbase.com/organization/geru,Debt Financing - Geru,https://www.crunchbase.com/funding_round/geru-debt-financing--45237f02,536632268.0,BRL,166088750.0,Debt Financing,"Consumer Lending, Credit, Finance, Financial Services, FinTech, Internet, Lending, Marketplace, Personal Finance",2016-11-01,,Chromo Invest,,50174008.0,BRL,15542024.0,,,,No,"Geru is a simple, fast, fair, and cost-effective online loan platform that connects borrowers and investors.",,https://www.geru.com.br,,Early Stage Venture,11,"São Paulo, Sao Paulo, Brazil, South America"
1976,Exact Sales,https://www.crunchbase.com/organization/exact-sales,Series A - Exact Sales,https://www.crunchbase.com/funding_round/exact-sales-series-a--3d4ce274,25000000.0,BRL,6118961.0,Series A,"Information Technology, Marketing, SaaS, Sales, Software",2016-11-01,CVENTURES,CVENTURES,Early Stage Venture,4000000.0,BRL,1239049.0,,,,Yes,Exact Sales develops and offers cloud-based sales and pre-sales software for boosting sales for small and medium-sized businesses.,,http://www.exactsales.com.br,,M&A,4,"Florianópolis, Santa Catarina, Brazil, South America"
1977,Konduto,https://www.crunchbase.com/organization/konduto,Seed Round - Konduto,https://www.crunchbase.com/funding_round/konduto-seed--38bff991,5700000.0,BRL,1758667.0,Seed,"E-Commerce, Fraud Detection, Information Technology, Payments",2016-11-01,Crescera Investimentos (f/k/a Bozano Investimentos),Crescera Investimentos (f/k/a Bozano Investimentos),Seed,2500000.0,BRL,774406.0,,,,Yes,Konduto is an online service that enables online retailers to reduce fraud in e-commerce by analyzing consumer behavior.,,https://www.konduto.com/,Less than $1M,M&A,3,"São Paulo, Sao Paulo, Brazil, South America"
1978,Imersys,https://www.crunchbase.com/organization/imersys,Seed Round - Imersys,https://www.crunchbase.com/funding_round/imersys-seed--29057e01,,USD,,Seed,"Augmented Reality, Education, Gamification, Training, Virtual Reality",2016-11-01,,,Seed,,,,,,,Yes,Extended Reality (VR / AR / MR) for education.,,https://www.imersys.com/en/,Less than $1M,M&A,1,"Curitiba, Parana, Brazil, South America"
1979,OneMarket,https://www.crunchbase.com/organization/onemarket,Seed Round - OneMarket,https://www.crunchbase.com/funding_round/onemarket-seed--96a953fa,1100000.0,USD,1100000.0,Seed,"E-Commerce, Snack Food, Subscription Service",2016-11-01,Duxx Investimentos,"Alexandre Badolato, Cristian Keleti, Duxx Investimentos, Luis Vital",Seed,650000.0,USD,650000.0,,,,Yes,Nutrition subscription boxes focused on restraint and healthy diets.,,https://onemarket.com.br/,Less than $1M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America"
1980,Unidas,https://www.crunchbase.com/organization/unidas-sa,Funding Round - Unidas,https://www.crunchbase.com/funding_round/unidas-sa-undisclosed--8fdb4120,,USD,,Funding Round,Rental,2016-10-31,,Enterprise Holdings,,,,,,,,Yes,Unidas engages in the rental and management of vehicles and fleets in Brazil.,,http://www.unidas.com.br/,Less than $1M,,1,"São Paulo, Sao Paulo, Brazil, South America"
1981,TROCAFONE,https://www.crunchbase.com/organization/trocafone,Series A - TROCAFONE,https://www.crunchbase.com/funding_round/trocafone-series-a--694ccb42,62430022.0,USD,62430022.0,Series A,"E-Commerce, Electronics, Marketplace, Mobile, Shopping",2016-10-30,Sallfort Privatbank AG,"Barn Investments, Daniel Curran, FundersClub, NXTP Ventures, Sallfort Privatbank AG",Early Stage Venture,11378275.0,USD,11378275.0,,,,Yes,"Trocafone is an online marketplace to buy and sell used electronics, particularly smartphones.",,http://www.trocafone.com,$1M to $10M,,10,"São Paulo, Sao Paulo, Brazil, South America"
1982,invoop,https://www.crunchbase.com/organization/invoop,Equity Crowdfunding - invoop,https://www.crunchbase.com/funding_round/invoop-equity-crowdfunding--a18ff16d,250000.0,BRL,79815.0,Equity Crowdfunding,"B2B, Internet",2016-10-26,EqSeed,EqSeed,,250000.0,BRL,79814.0,1400000.0,BRL,446961.0,Yes,invoop is an online platform intended for highlighting advertisements.,,http://www.invoop.com,$1M to $10M,,1,"São Paulo, Sao Paulo, Brazil, South America"
1983,Oktoplus,https://www.crunchbase.com/organization/oktoplus,Venture Round - Oktoplus,https://www.crunchbase.com/funding_round/oktoplus-series-unknown--654a135e,3000000.0,BRL,881882.0,Venture - Series Unknown,"Computer, Loyalty Programs, Search Engine, Software",2016-10-21,,CVENTURES,,2000000.0,BRL,633865.0,,,,Yes,"Oktoplus is the creator of the Oktoplus app for iOS and Android, which helps manage loyalty programs in one place.",,http://www.oktoplus.com.br,Less than $1M,,2,"Florianópolis, Santa Catarina, Brazil, South America"
1984,idwall,https://www.crunchbase.com/organization/idwall,Seed Round - idwall,https://www.crunchbase.com/funding_round/idwall-seed--4ccdb395,51800000.0,USD,51800000.0,Seed,"Artificial Intelligence (AI), Big Data, Identity Management, Information Technology, Machine Learning, SaaS, Security, Software",2016-10-20,500 Global,"500 Global, Eduardo Campos, Kiko Lumack, Paulo Silveira, Rodrigo Dantas",Seed,200000.0,USD,200000.0,,,,Yes,"idwall is the ultimate identity management platform to automate verification processes, prevent fraud, and ensure compliance with ease.",,https://idwall.co,$1M to $10M,Late Stage Venture,6,"São Paulo, Sao Paulo, Brazil, South America"
1985,InstaCarro,https://www.crunchbase.com/organization/instacarrro-com,Series A - InstaCarro,https://www.crunchbase.com/funding_round/instacarrro-com-series-a--bd7feafd,66602633.0,USD,66602633.0,Series A,"Automotive, Direct Sales, E-Commerce",2016-10-19,,"FundersClub, Güimar Vaca Sittic, Marco Valta",Early Stage Venture,,,,,,,Yes,InstaCarro is a car buying and selling service in Brazil that offers a possibility of selling cars in up to one hour.,,https://www.instacarro.com/,$10M to $50M,,13,"São Paulo, Sao Paulo, Brazil, South America"
1986,EduApps,https://www.crunchbase.com/organization/eduapps-2,Seed Round - EduApps,https://www.crunchbase.com/funding_round/eduapps-2-seed--b0f332c0,110000.0,USD,110000.0,Seed,"Apps, EdTech, Education, Mobile, SaaS, Software",2016-10-15,,,Seed,110000.0,USD,110000.0,,,,Yes,EduApps is an Authoring Tool for Mobile Learning and Industry Education.,,http://www.eduapps.com.br,,Seed,1,"Curitiba, Parana, Brazil, South America"
1987,AzoClima,https://www.crunchbase.com/organization/azoclima,Seed Round - AzoClima,https://www.crunchbase.com/funding_round/azoclima-seed--0ede1cad,90000.0,BRL,28093.0,Seed,"Information Services, Information Technology",2016-10-14,,,Seed,90000.0,BRL,28093.0,,,,Yes,AzoClima is a Startup Company formed with the purpose of personalizing the meteorological information&inserting it in different activities. ,,http://azoclima.com.br/,,Seed,1,"Florianópolis, Santa Catarina, Brazil, South America"
1988,bxblue,https://www.crunchbase.com/organization/bxblue,Pre Seed Round - bxblue,https://www.crunchbase.com/funding_round/bxblue-pre-seed--6b795dcb,38000000.0,BRL,7018775.0,Pre-Seed,"Credit, Financial Services, FinTech, Marketplace",2016-10-13,,Startup Farm,Seed,,,,,,,Yes,bxblue is a marketplace for payroll loans in Brazil.,,https://www.bxblue.com.br,$1M to $10M,M&A,4,"Brasília, Rio Grande do Norte, Brazil, South America"
1989,Noverde,https://www.crunchbase.com/organization/noverde,Angel Round - Noverde,https://www.crunchbase.com/funding_round/noverde-angel--107626f4,6000000.0,BRL,1907053.0,Angel,"Financial Services, FinTech, Internet, Lending, Mobile, Software",2016-10-11,,,Seed,2000000.0,BRL,624836.0,,,,Yes,Noverde provides personal loan services in Brazil.,,http://www.noverde.com.br,Less than $1M,M&A,2,"São Paulo, Sao Paulo, Brazil, South America"
1990,TutorMundi,https://www.crunchbase.com/organization/tutormundi,Pre Seed Round - TutorMundi,https://www.crunchbase.com/funding_round/tutormundi-pre-seed--b2e86a63,1800000.0,USD,1800000.0,Pre-Seed,"E-Learning, EdTech, Tutoring",2016-10-11,,,Seed,300000.0,USD,300000.0,,,,Yes,"For middle and high schools, TutorMundi innovates its tutoring system through undergrads from top universities for a live iteration 24/7.",,https://www.tutormundi.com,Less than $1M,Seed,3,"São Paulo, Sao Paulo, Brazil, South America"
1991,4vets,https://www.crunchbase.com/organization/grupo-4vets,Pre Seed Round - 4vets,https://www.crunchbase.com/funding_round/grupo-4vets-pre-seed--c40435d3,,USD,,Pre-Seed,"Developer Platform, Internet, Online Portals, Pet, Retail, Retail Technology, Veterinary",2016-10-10,,Bossanova Investimentos,Seed,,,,,,,Yes,4vets offers applied technology in the distribution and retail network of veterinary and animal health products.,,https://www.grupo4vets.com.br,,Seed,4,"Brasil, Sao Paulo, Brazil, South America"
1992,Vindi,https://www.crunchbase.com/organization/vindi,Series A - Vindi,https://www.crunchbase.com/funding_round/vindi-series-a--0209262a,9943765.0,USD,9943765.0,Series A,"Billing, E-Commerce, Financial Services, FinTech, Payments, SaaS, Software, Subscription Service",2016-10-05,"Crescera Investimentos (f/k/a Bozano Investimentos), Criatec 2","Crescera Investimentos (f/k/a Bozano Investimentos), Criatec 2",Early Stage Venture,2000000.0,BRL,621088.0,,,,Yes,Vindi is an online payment platform (PCI certified) that focuses on subscription and recurring billing.,,http://www.vindi.com.br,$1M to $10M,M&A,9,"São Paulo, Sao Paulo, Brazil, South America"
1993,Worldpackers,https://www.crunchbase.com/organization/worldpackers,Seed Round - Worldpackers,https://www.crunchbase.com/funding_round/worldpackers-seed--9f0d2563,1600000.0,USD,1600000.0,Seed,"Hospitality, Marketplace, Tourism, Travel",2016-10-04,"Barn Investments, Indicator Capital","Barn Investments, Indicator Capital",Seed,1600000.0,USD,1600000.0,,,,Yes,Worldpackers is a social travel marketplace for people to find unique places where they can exchange their skills for accommodation.,,http://worldpackers.com,$1M to $10M,,4,"São Paulo, Sao Paulo, Brazil, South America"
1994,Blogo,https://www.crunchbase.com/organization/blogo,Pre Seed Round - Blogo,https://www.crunchbase.com/funding_round/blogo-pre-seed--f5a3ccce,75000.0,USD,75000.0,Pre-Seed,"Apps, Blogging Platforms, Consumer Electronics, Mobile, Software",2016-10-04,,Bossanova Investimentos,Seed,,,,,,,Yes,"Blogo is an application that makes it easy to write, publish, and manage multiple blogs.",,http://www.getblogo.com,,Seed,2,"Rio De Janeiro, Rio de Janeiro, Brazil, South America"
1995,Moradigna,https://www.crunchbase.com/organization/moradigna,Debt Financing - Moradigna,https://www.crunchbase.com/funding_round/moradigna-debt-financing--f1cc3b07,20000.0,USD,20000.0,Debt Financing,"Real Estate, Waste Management",2016-10-04,,,,20000.0,USD,20000.0,,,,No,"Moradigna provides services to reform housing structures, diagnosing the problem and providing rebuilding.",,http://moradigna.com.br,,Seed,2,"São Paulo, Sao Paulo, Brazil, South America"
1996,Bonuz by SumOne,https://www.crunchbase.com/organization/bonuz-by-sumone,Seed Round - Bonuz by SumOne,https://www.crunchbase.com/funding_round/bonuz-by-sumone-seed--720613a7,3000000.0,USD,3000000.0,Seed,"Apps, Customer Service, Information Technology, Retail, Software",2016-10-04,"CRP Entrepreneur, CVENTURES","CRP Entrepreneur, CVENTURES, Marcelo Sampaio",Seed,3000000.0,USD,3000000.0,,,,Yes,Bonuz connects retail brands to their customers,,http://bonuz.sumone.com.br/,$1M to $10M,Seed,1,"Florianópolis, Santa Catarina, Brazil, South America"
1997,GuideFly,https://www.crunchbase.com/organization/guidefly,Non Equity Assistance - GuideFly,https://www.crunchbase.com/funding_round/guidefly-non-equity-assistance--1c41ce60,10000000.0,CLP,15162.0,Non-equity Assistance,"Guides, Information Technology, Management Consulting, Travel",2016-10-03,,Start-Up Chile,,10000000.0,CLP,15161.0,,,,No,GuideFly is a business manuals and guides creator and management tool.,,http://guidefly.io/,,,1,"Chile, Minas Gerais, Brazil, South America"
1998,Agente Imovel Inteligencia de Busca,https://www.crunchbase.com/organization/agente-imvel,Seed Round - Agente Imovel Inteligencia de Busca,https://www.crunchbase.com/funding_round/agente-imvel-seed--7450e4eb,2500000.0,USD,2500000.0,Seed,"Classifieds, E-Commerce, Real Estate",2016-10-03,,,Seed,250000.0,USD,250000.0,,,,Yes,"Agente Imóvel is the homeowner´s companion during the complete home owning life cycle: buying, living, selling, renting, financing and more.",,http://www.agenteimovel.com.br,,Early Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America"
1999,dr.consulta,https://www.crunchbase.com/organization/dr-consulta-2,Series B - dr.consulta,https://www.crunchbase.com/funding_round/dr-consulta-2-series-b--9f54c71c,168601756.0,USD,168601756.0,Series B,"Clinical Trials, Health Care, Health Insurance, Information Technology, Medical, Primary and Urgent Care",2016-10-01,Lightrock,Lightrock,Early Stage Venture,25000000.0,USD,25000000.0,,,,Yes,dr.consulta is a healthcare company in Brazil. We begun as a full stack primary care provider and evolved to become a HMO.,,http://www.drconsulta.com,$1M to $10M,Late Stage Venture,8,"São Paulo, Sao Paulo, Brazil, South America"
2000,Remessa Online,https://www.crunchbase.com/organization/remessa-online,Seed Round - Remessa Online,https://www.crunchbase.com/funding_round/remessa-online-seed--2926e9e6,25690179.0,USD,25690179.0,Seed,"Finance, Financial Services, FinTech, Security",2016-10-01,,,Seed,2250000.0,BRL,690179.0,,,,Yes,"Remittance Online has made international transfers simple, fast and cost-effective for you and your business.",,https://www.remessaonline.com.br,$1B to $10B,M&A,5,"São Paulo, Sao Paulo, Brazil, South America"
2001,BeeTech,https://www.crunchbase.com/organization/beetech,Seed Round - BeeTech,https://www.crunchbase.com/funding_round/beetech-seed--550eb27e,34665179.0,USD,34665179.0,Seed,"Finance, Financial Exchanges, Financial Services, FinTech, Payments",2016-10-01,,,Seed,2250000.0,BRL,690179.0,,,,Yes,BeeTech connects financial technology and innovation to transparency for the main currency exchange services in the world.,,https://beetech.global,Less than $1M,Early Stage Venture,5,"São Paulo, Sao Paulo, Brazil, South America"
2002,Konduto,https://www.crunchbase.com/organization/konduto,Seed Round - Konduto,https://www.crunchbase.com/funding_round/konduto-seed--6e5b0fc9,5700000.0,BRL,1758667.0,Seed,"E-Commerce, Fraud Detection, Information Technology, Payments",2016-10-01,,,Seed,700000.0,BRL,214722.0,,,,Yes,Konduto is an online service that enables online retailers to reduce fraud in e-commerce by analyzing consumer behavior.,,https://www.konduto.com/,Less than $1M,M&A,3,"São Paulo, Sao Paulo, Brazil, South America"
2003,Oase,https://www.crunchbase.com/organization/paperpass,Series B - Oase,https://www.crunchbase.com/funding_round/paperpass-series-b--1054ec21,,USD,,Series B,Software,2016-10-01,,,Early Stage Venture,,CNY,,,,,Yes,"Oase is a app, you connect from your device to our server and have access to a PC that runs everything in the best quality and performance.",,https://oase.cloud/,,Seed,3,"Curitiba, Parana, Brazil, South America"
2004,Playax,https://www.crunchbase.com/organization/playax,Grant - Playax,https://www.crunchbase.com/funding_round/playax-grant--258edba3,285000.0,USD,285000.0,Grant,"Analytics, Big Data, Music",2016-10-01,,Fundação de Amparo à Pesquisa do Estado de SP,,285000.0,USD,285000.0,,,,No,"Playax, a tech company, performs analytics on music listeners for the benefit of authors, artists, record labels, publishers, and so on.",,http://www.playax.com,,Seed,3,"São Paulo, Sao Paulo, Brazil, South America"
2005,Go Farms,https://www.crunchbase.com/organization/go-farms,Angel Round - Go Farms,https://www.crunchbase.com/funding_round/go-farms-angel--3d24e264,,USD,,Angel,"Agriculture, AgTech, Apps, Internet, Software",2016-10-01,,Triple Seven Investments,Seed,,,,,,,Yes,"Go Farms is a company that bets on the use of technology in mobility to bring practicality, economy and intelligence to farm management.",,http://gofarms.com,Less than $1M,Seed,1,"São Paulo, Sao Paulo, Brazil, South America"
2006,Quero Education,https://www.crunchbase.com/organization/quero-education,Convertible Note - Quero Education,https://www.crunchbase.com/funding_round/quero-education-convertible-note--acd5a8d4,,USD,,Convertible Note,"Education, Higher Education, Marketplace, Software, Universities",2016-10-01,,Lumia Capital,,,,,,,,No,Quero Education operates an online marketplace that connects students with schools in Brazil.,,http://querobolsa.com.br,$1M to $10M,Early Stage Venture,5,"São José Dos Campos, Sao Paulo, Brazil, South America"
2007,New Hope Ecotech,https://www.crunchbase.com/organization/new-hope-ecotech,Seed Round - New Hope Ecotech,https://www.crunchbase.com/funding_round/new-hope-ecotech-seed--9e35a7b6,500000.0,BRL,153373.0,Seed,"Information Technology, Manufacturing, Recycling, Software",2016-10-01,Positive Ventures,Positive Ventures,Seed,500000.0,BRL,153373.0,,,,Yes,New Hope Ecotech is a technology and social impact company.,,http://www.nhecotech.com,Less than $1M,Seed,1,"São Paulo, Sao Paulo, Brazil, South America"
2008,Healfies,https://www.crunchbase.com/organization/healfies,Equity Crowdfunding - Healfies,https://www.crunchbase.com/funding_round/healfies-equity-crowdfunding--5108d03f,1660000.0,BRL,489922.0,Equity Crowdfunding,"Health Care, Internet, mHealth, Personal Health",2016-09-30,,"Jorge Rocha, Leonardo Kayat Bittencourt, Mozar Marin, Tiago Senra",,690000.0,BRL,212181.0,,,,Yes,Healfies alows people to control their health history and share with family.,,https://healfies.com,Less than $1M,,5,"Florianópolis, Santa Catarina, Brazil, South America"
2009,wayme,https://www.crunchbase.com/organization/wayme-2,Non Equity Assistance - wayme,https://www.crunchbase.com/funding_round/wayme-2-non-equity-assistance--df876846,40000.0,USD,40000.0,Non-equity Assistance,"Architecture, Information Technology, Restaurants, Software, Tourism, Travel",2016-09-29,,FbStart,,40000.0,USD,40000.0,,,,No,Wayme is a mobile device software application developer that makes virtual tour guide systems.,,https://www.wayme.tours,,,1,"Uauá, Bahia, Brazil, South America"
2010,RankMyApp,https://www.crunchbase.com/organization/rankmyapp,Venture Round - RankMyApp,https://www.crunchbase.com/funding_round/rankmyapp-series-unknown--ea32b7c7,3500000.0,USD,3500000.0,Venture - Series Unknown,"Analytics, App Marketing, Artificial Intelligence (AI), Computer, Internet, Marketing, Mobile, Mobile Apps, Software",2016-09-29,,Alchemist Accelerator,,,,,,,,Yes,ankMyApp offers data intelligence and user acquisition campaigns for mobile apps.,,http://www.rankmyapp.com/,Less than $1M,,7,"São Paulo, Sao Paulo, Brazil, South America"
2011,Hiper,https://www.crunchbase.com/organization/hiper,Series A - Hiper,https://www.crunchbase.com/funding_round/hiper-series-a--c3958af5,2100000.0,USD,2100000.0,Series A,"Point of Sale, Retail, SaaS, Software",2016-09-29,,"CVENTURES, TM3 Capital",Early Stage Venture,2000000.0,USD,2000000.0,,,,Yes,Hiper is a point-of-sale software focused on SMB retailers in Brazil helping companies to better managing a retail store.,,https://hiper.com.br/,$1M to $10M,M&A,2,"Brusque, Santa Catarina, Brazil, South America"
2012,Spark Influencer Marketing Power House,https://www.crunchbase.com/organization/spark-inc,Series B - Spark Influencer Marketing Power House,https://www.crunchbase.com/funding_round/spark-inc-series-b--82315410,4705117.0,USD,4705117.0,Series B,"Advertising, Apps, Content Marketing, Marketing, Social Media Marketing, Software",2016-09-27,,Cisneros Group,Early Stage Venture,3000000.0,USD,3000000.0,,,,Yes,Spark creates and manages advertising campaigns through social networks of digital influencers using it proprietary platform.,,http://www.createspark.com.br,$1M to $10M,M&A,3,"São Paulo, Sao Paulo, Brazil, South America"
2013,Rhases,https://www.crunchbase.com/organization/rhases,Convertible Note - Rhases,https://www.crunchbase.com/funding_round/rhases-convertible-note--a9145904,422900.0,BRL,119960.0,Convertible Note,"Health Care, Insurance",2016-09-26,,Cotidiano,,100000.0,BRL,30841.0,,,,No,Rhases is a platform to compare the best health plans in the market and hire the one that meets your needs and conditions.,,https://www.rhases.com.br,Less than $1M,Seed,3,"Brasília, Rio Grande do Norte, Brazil, South America"
2014,Leigado,https://www.crunchbase.com/organization/leigado,Seed Round - Leigado,https://www.crunchbase.com/funding_round/leigado-seed--15068b65,1000000.0,BRL,190635.0,Seed,"Agriculture, AgTech, Apps, Software",2016-09-26,,Cotidiano,Seed,100000.0,BRL,30841.0,,,,Yes,"Leigado is an app allowing users to take control of their property in terms of production, sanitary, stock, and financial wherever they go.",,http://leigado.com.br,$1M to $10M,Seed,3,"Dois Vizinhos, Parana, Brazil, South America"
2015,OIANA,https://www.crunchbase.com/organization/oiana,Seed Round - OIANA,https://www.crunchbase.com/funding_round/oiana-seed--111edd6b,100000.0,BRL,30842.0,Seed,"Apps, CRM, Mobile, Software",2016-09-26,,Cotidiano,Seed,100000.0,BRL,30841.0,,,,Yes,OIANA creates applications that gather information to enhance the relationship between a professional and a client.,,http://oiana.com.br,,Seed,1,"Curitiba, Parana, Brazil, South America"
2016,Recicletool,https://www.crunchbase.com/organization/recicletool,Seed Round - Recicletool,https://www.crunchbase.com/funding_round/recicletool-seed--05bb99ab,100000.0,BRL,30842.0,Seed,"Analytics, Logistics, Recycling, Waste Management",2016-09-26,,Cotidiano,Seed,100000.0,BRL,30841.0,,,,Yes,"Sustainability, Reverse Logistic, Big Data Analytics, Loyalty Program",,http://recicletool.eco.br/,$1M to $10M,Seed,1,"Pernambuco, Pernambuco, Brazil, South America"
2017,Otimicar,https://www.crunchbase.com/organization/otimicar,Seed Round - Otimicar,https://www.crunchbase.com/funding_round/otimicar-seed--7d4db5b7,75000.0,BRL,23131.0,Seed,"Automotive, Communities, Information Technology, Internet of Things",2016-09-26,,Cotidiano,Seed,75000.0,BRL,23131.0,,,,Yes,OTIMICAR is a complete vehicle care platform that monitors information on car usage and mechanics.,,http://www.otimicar.com,,Seed,1,"Brasília, Rio Grande do Norte, Brazil, South America"
2018,BizuBox,https://www.crunchbase.com/organization/bizubox,Seed Round - BizuBox,https://www.crunchbase.com/funding_round/bizubox-seed--8e15b000,15000.0,BRL,4626.0,Seed,"Analytics, Artificial Intelligence (AI), Data Integration, Information Services, Software",2016-09-26,,Cotidiano,Seed,15000.0,BRL,4626.0,,,,Yes,BizuBox collects sales data automatically for easier analysis.,,http://bizubox.com/,,Seed,1,"Brasília, Rio Grande do Norte, Brazil, South America"
2019,Mutant,https://www.crunchbase.com/organization/mutant,Venture Round - Mutant,https://www.crunchbase.com/funding_round/mutant-series-unknown--6ec2cec7,,USD,,Venture - Series Unknown,"Information Services, Information Technology",2016-09-24,,"Permira, TCV",,,,,,,,Yes,Mutant is a Brazilian company focused on Customer Experience.,,https://mutantbr.com/,,,1,"São Paulo, Sao Paulo, Brazil, South America"
2020,MadeiraMadeira,https://www.crunchbase.com/organization/madeiramadeira,Convertible Note - MadeiraMadeira,https://www.crunchbase.com/funding_round/madeiramadeira-convertible-note--f7c662c2,338820267.0,USD,338820267.0,Convertible Note,"E-Commerce, Furniture, Home and Garden, Home Decor, Home Improvement, Marketplace",2016-09-23,,Flybridge,,1561914.0,USD,1561914.0,,,,No,MadeiraMadeira is an online marketplace that specializes in home products.,,http://www.madeiramadeira.com.br,$100M to $500M,Late Stage Venture,8,"Curitiba, Parana, Brazil, South America"
2021,Aliansce Sona,https://www.crunchbase.com/organization/aliansce-sonae,Post-IPO Equity - Aliansce Sona,https://www.crunchbase.com/funding_round/aliansce-sonae-post-ipo-equity--8891cad4,250000000.0,BRL,77616057.0,Post-IPO Equity,"Retail, Shopping",2016-09-21,Jaguar Growth Partners,Jaguar Growth Partners,,250000000.0,BRL,77616056.0,,,,Yes,Aliansce Sona is a shopping center.,,http://www.alianscesonae.com.br/,$100M to $500M,IPO,1,"Rio De Janeiro, Rio de Janeiro, Brazil, South America"
